,handle,count,compound,positive,negative,neutral,date
99,BBC,100,0.5859,0.231,0.0,0.769,1519967280.0
98,BBC,99,0.9081,0.383,0.0,0.617,1519967371.0
97,BBC,98,0.7712,0.489,0.0,0.511,1519967400.0
96,BBC,97,0.0,0.0,0.0,1.0,1519968276.0
95,BBC,96,-0.3818,0.0,0.126,0.874,1519969080.0
94,BBC,95,0.802,0.286,0.0,0.714,1519969380.0
93,BBC,94,0.0,0.0,0.0,1.0,1520006406.0
92,BBC,93,0.0,0.0,0.0,1.0,1520008216.0
91,BBC,92,0.0,0.0,0.0,1.0,1520010007.0
90,BBC,91,0.0,0.0,0.0,1.0,1520013724.0
89,BBC,90,0.69,0.231,0.0,0.769,1520013943.0
88,BBC,89,0.0,0.0,0.0,1.0,1520014013.0
87,BBC,88,0.0,0.0,0.0,1.0,1520014072.0
86,BBC,87,0.0,0.0,0.0,1.0,1520014098.0
85,BBC,86,0.0,0.0,0.0,1.0,1520014141.0
84,BBC,85,0.0,0.0,0.0,1.0,1520014158.0
83,BBC,84,0.6908,0.263,0.0,0.737,1520016783.0
82,BBC,83,-0.5574,0.0,0.286,0.714,1520020805.0
81,BBC,82,-0.5095,0.0,0.215,0.785,1520024404.0
80,BBC,81,0.0,0.0,0.0,1.0,1520028184.0
79,BBC,80,0.7684,0.353,0.0,0.647,1520029811.0
78,BBC,79,0.0,0.0,0.0,1.0,1520031784.0
77,BBC,78,0.9184,0.454,0.0,0.546,1520034202.0
76,BBC,77,0.0,0.0,0.0,1.0,1520040603.0
75,BBC,76,0.0,0.0,0.0,1.0,1520042411.0
74,BBC,75,0.4588,0.167,0.0,0.833,1520046009.0
73,BBC,74,-0.4767,0.0,0.193,0.807,1520051703.0
72,BBC,73,0.2732,0.104,0.0,0.896,1520096407.0
71,BBC,72,0.0,0.0,0.0,1.0,1520098767.0
70,BBC,71,0.0,0.0,0.0,1.0,1520098773.0
69,BBC,70,0.7569,0.272,0.0,0.728,1520100004.0
68,BBC,69,0.0,0.0,0.0,1.0,1520102508.0
67,BBC,68,0.5719,0.156,0.0,0.844,1520102544.0
66,BBC,67,-0.3612,0.075,0.134,0.791,1520103611.0
65,BBC,66,0.6114,0.222,0.0,0.778,1520104694.0
64,BBC,65,-0.3612,0.0,0.143,0.857,1520105389.0
63,BBC,64,-0.296,0.0,0.355,0.645,1520107204.0
62,BBC,63,0.0,0.0,0.0,1.0,1520109030.0
61,BBC,62,-0.5514,0.0,0.229,0.771,1520112604.0
60,BBC,61,-0.296,0.0,0.115,0.885,1520118007.0
59,BBC,60,-0.4404,0.091,0.2,0.709,1520118460.0
58,BBC,59,0.0,0.0,0.0,1.0,1520118470.0
57,BBC,58,0.4754,0.123,0.0,0.877,1520119599.0
56,BBC,57,0.0,0.0,0.0,1.0,1520119616.0
55,BBC,56,0.0,0.0,0.0,1.0,1520121608.0
54,BBC,55,0.0,0.0,0.0,1.0,1520125203.0
53,BBC,54,-0.6705,0.0,0.256,0.744,1520128006.0
52,BBC,53,0.0,0.0,0.0,1.0,1520128676.0
51,BBC,52,0.0,0.0,0.0,1.0,1520128680.0
50,BBC,51,-0.7717,0.0,0.271,0.729,1520128816.0
49,BBC,50,0.1695,0.17,0.11,0.72,1520132405.0
48,BBC,49,0.296,0.167,0.0,0.833,1520134566.0
47,BBC,48,0.6249,0.255,0.0,0.745,1520140900.0
399,BreitbartNews,100,0.0,0.0,0.0,1.0,1520141538.0
398,BreitbartNews,99,0.0,0.0,0.0,1.0,1520143181.0
397,BreitbartNews,98,0.0,0.0,0.0,1.0,1520144768.0
396,BreitbartNews,97,0.0,0.0,0.0,1.0,1520146367.0
395,BreitbartNews,96,0.0,0.0,0.0,1.0,1520147982.0
